"","Site","Habitat.Type.2014","Mode_Habitat_Type","Core.Increment.cm","Percent.Moisture","Bulk.Density.g.cm.3","LOI.percent","TC.percent","TC.g.cm.3","min.depth.cm","max.depth.cm","TC.g.m.2.per.cm"
"190","4245","Intermediate","Intermediate","60-62",71.43468152,0.413275731,24.94022478,11.22421783,0.046386968,"60","62",463.86968
"191","4245","Intermediate","Intermediate","90-92",88.01588949,0.207270665,76.45629804,33.18551986,0.068783848,"90","92",687.83848
"192","BA","Intermediate","Fresh","0-2",79.68677455,0.091357484,21.2386075,9.646218377,0.008812542,"0","2",88.12542
"193","BA","Intermediate","Fresh","2-4",81.08543126,0.100845665,85.82039163,37.17743295,0.037491829,"2","4",374.91829
"194","BA","Intermediate","Fresh","4-6",76.67368304,0.085505675,86.51007777,37.47144615,0.032040213,"4","6",320.40213
"195","BA","Intermediate","Fresh","8-10",79.10867949,0.080122418,91.2568306,39.49498689,0.031644339,"8","10",316.44339
"196","BA","Intermediate","Fresh","12-14",73.52675011,0.075238271,92.8866588,40.18978264,0.030238098,"12","14",302.38098
"197","BA","Intermediate","Fresh","16-18",71.42121789,0.07069026,91.38070246,39.54779346,0.027956438,"16","18",279.56438
"198","BA","Intermediate","Fresh","22-24",67.29732007,0.079052897,92.25187873,39.9191759,0.031557265,"22","24",315.57265
"199","BA","Intermediate","Fresh","38-40",70.92272266,0.095500605,NA,NA,NA,"38","40",NA
"200","BA","Intermediate","Fresh","58-60",77.00064286,0.081082441,81.16998866,35.19496616,0.028536938,"58","60",285.36938
"201","BA","Intermediate","Fresh","78-80",79.8277171,0.103522014,53.93509597,23.58473141,0.024415389,"78","80",244.15389
"202","BA","Intermediate","Fresh","98-100",75.75373682,0.079928886,61.86915888,26.96702243,0.021554441,"98","100",215.54441
"203","BA","Intermediate","Fresh","34-36",75.01797038,0.079651319,88.98582334,38.52685649,0.03068715,"34","36",306.8715
"204","175","Saline","Saline","0-2",58.02851285,0.133970265,17.96864441,8.252233112,0.011055539,"0","2",110.55539
"205","175","Saline","Saline","2-4",61.51673568,0.183893987,17.53565017,8.067647669,0.014835919,"2","4",148.35919
"206","175","Saline","Saline","4-6",60.17982653,0.20096813,15.22352431,7.081988412,0.01423254,"4","6",142.3254
"207","175","Saline","Saline","8-10",72.94149959,0.150527472,29.30840912,13.08637481,0.019698589,"8","10",196.98589
"208","175","Saline","Saline","12-14",60.04962779,0.207041482,13.4614393,6.330811574,0.013107406,"12","14",131.07406
"209","175","Saline","Saline","16-18",68.10021753,0.181856804,19.74406991,9.009097004,0.016383656,"16","18",163.83656
"210","175","Saline","Saline","22-24",73.71968763,0.195386248,29.7046477,13.25529132,0.025899016,"22","24",258.99016
"211","175","Saline","Saline","38-40",66.5013164,0.248834297,15.52518471,7.210586241,0.017942412,"38","40",179.42412
"212","175","Saline","Saline","58-60",73.80246619,0.173068905,29.45974648,13.15088992,0.022760101,"58","60",227.60101
"213","175","Saline","Saline","78-80",74.89008093,0.412437939,13.74256806,6.450656764,0.026604956,"78","80",266.04956
"214","175","Saline","Saline","98-100",31.74677302,0.837389277,3.719325412,2.177748423,0.018236232,"98","100",182.36232
"215","224","Saline","Saline","0-2",63.90872487,0.148136328,26.11288955,11.72412481,0.017367688,"0","2",173.67688
"216","224","Saline","Saline","2-4",61.91094213,0.159182954,22.31590366,10.10546973,0.016086185,"2","4",160.86185
"217","224","Saline","Saline","4-6",59.45628845,0.144314063,20.84181552,9.477065957,0.013676739,"4","6",136.76739
"218","224","Saline","Saline","8-10",66.45712997,0.159116746,29.72907065,13.26570282,0.021107955,"8","10",211.07955
"219","224","Saline","Saline","12-14",70.1522236,0.131018896,40.30419568,17.77387862,0.023287139,"12","14",232.87139
"220","224","Saline","Saline","16-18",72.77537503,0.16286007,38.59790111,17.04648524,0.027761918,"16","18",277.61918
"221","224","Saline","Saline","22-24",67.63416526,0.104156088,47.61455384,20.8902843,0.021758503,"22","24",217.58503
"222","224","Saline","Saline","38-40",55.49101784,0.111421193,22.47117584,10.17166226,0.011333387,"38","40",113.33387
"223","224","Saline","Saline","58-60",78.09324541,0.131976372,51.96690703,22.74569247,0.03001894,"58","60",300.1894
"224","224","Saline","Saline","78-80",80.3082568,0.091291275,71.69642242,31.15638488,0.028443061,"78","80",284.43061
"225","224","Saline","Saline","98-100",75.44067632,0.096539569,62.04989554,27.04407047,0.026108229,"98","100",261.08229
"226","237","Saline","Saline","0-2",38.61345485,0.270306209,6.769749587,3.478144249,0.00940164,"0","2",94.0164
"227","237","Saline","Saline","2-4",52.2985413,0.338590046,13.20007155,6.219390502,0.021058237,"2","4",210.58237
"228","237","Saline","Saline","4-6",57.80591746,0.176236725,18.01653936,8.272650729,0.014579449,"4","6",145.79449
"229","237","Saline","Saline","8-10",54.9949791,0.245373632,31.07541347,13.83964876,0.033958849,"8","10",339.58849
"230","237","Saline","Saline","12-14",47.48262807,0.27906355,13.33598726,6.277331369,0.017517744,"12","14",175.17744
"231","237","Saline","Saline","16-18",51.89726729,0.227260526,13.9272234,6.529375336,0.014838693,"16","18",148.38693
"232","237","Saline","Saline","22-24",63.96357466,0.144405736,31.60737515,14.06642403,0.020312723,"22","24",203.12723
"233","237","Saline","Saline","38-40",64.03966391,0.277690998,17.48201521,8.044783084,0.022339638,"38","40",223.39638
"234","237","Saline","Saline","58-60",62.0433284,0.360894656,13.60552079,6.392233514,0.023069229,"58","60",230.69229
"235","237","Saline","Saline","78-80",50.01204256,0.438666674,7.97691763,3.992759986,0.017514907,"78","80",175.14907
"236","237","Saline","Saline","98-100",45.38371993,0.307049356,7.827061946,3.928876507,0.01206359,"98","100",120.6359
"237","337","Saline","Saline","0-2",58.23235851,0.211632784,16.02658296,7.424332314,0.015712321,"0","2",157.12321
"238","337","Saline","Saline","2-4",61.41351177,0.253158219,14.75848529,6.883742279,0.017426759,"2","4",174.26759
"239","337","Saline","Saline","4-6",59.96229444,0.214696199,15.13322513,7.043493873,0.015122114,"4","6",151.22114
"240","337","Saline","Saline","8-10",49.76953132,0.284161602,8.249763266,4.10907408,0.011676411,"8","10",116.76411
"241","337","Saline","Saline","12-14",62.15803375,0.18168619,15.45425701,7.180349762,0.013045704,"12","14",130.45704
"242","337","Saline","Saline","16-18",68.52915288,0.225798847,19.40314909,8.863762456,0.020014273,"16","18",200.14273
"243","337","Saline","Saline","22-24",68.15294334,0.180899328,20.97932254,9.535685198,0.01724999,"22","24",172.4999
"244","337","Saline","Saline","38-40",50.44070524,0.467487724,6.674302862,3.43745531,0.016069682,"38","40",160.69682
"245","337","Saline","Saline","58-60",66.58534053,0.213091917,18.15493791,8.33165003,0.017754073,"58","60",177.54073
