"WetlandType","AboveLive.g.m-2","BelowLive.g.m-2","AboveVF.g.m-2","BelowVF.g.m-2","BelowS.g.m-2","ANPP.g.m-2.y-1","BNPP.g.m-2.y-1","AboveMort.g.m-2.y-1","BelowMort.g.m-2.y-1","AVF_Emission.percent","BVF_Emission.percent"
"Estuarine Herbaceous","141.509","138.935","376.535","5495.944","9708.833","597.129","2449.677","642.492","2848.102","68.589","41.285"
"Palustrine Herbaceous","39.558","176.264","345.336","6884.377","8787.59","463.95","2410.357","526.027","3518.242","74.487","58.368"
