Site,Habitat Type 2014,Mode_Habitat_Type,Core Increment cm,Percent Moisture,Bulk Density g cm-3,LOI percent,TC percent,TC g cm-3
3617,Brackish,Brackish,38-40,49.97066236,0.382139931,10.39825125,5.024974507,0.019202434
3617,Brackish,Brackish,58-60,76.4260949,0.135396293,50.16143911,21.97602149,0.029754718
3617,Brackish,Brackish,78-80,81.16634712,0.105561744,68.6085401,29.84002064,0.031499646
3617,Brackish,Brackish,98-100,79.37465471,0.117886703,56.48096461,24.67003521,0.029082691
211,Fresh,Fresh,0-2,51.12041667,0.071932941,54.10221265,23.65597325,0.017016437
211,Fresh,Fresh,2-4,62.9393111,0.086305269,49.81602038,21.82876949,0.018839378
211,Fresh,Fresh,4-6,59.57396712,0.074326632,49.28337428,21.60170246,0.016055818
211,Fresh,Fresh,8-10,61.44196398,0.072791105,59.47867299,25.94795829,0.018887806
211,Fresh,Fresh,12-14,58.11011548,0.066783961,76.63551402,33.26191963,0.022213627
211,Fresh,Fresh,16-18,67.25267938,0.072905696,31.35761085,13.9599495,0.010177598
211,Fresh,Fresh,22-24,68.42065748,0.074975984,78.58780376,34.09418074,0.025562447
211,Fresh,Fresh,38-40,74.26854637,0.101742026,45.32365396,19.91367368,0.020260575
211,Fresh,Fresh,58-60,77.63265173,0.104790161,,ND,ND
211,Fresh,Fresh,78-80,78.34842755,0.081943151,87.15663089,37.74707175,0.03093114
211,Fresh,Fresh,98-100,80.14598126,0.089007084,73.32046332,31.84871351,0.028347611
273,Fresh,Fresh,0-2,29.60155369,0.057229571,ND,ND,ND
273,Fresh,Fresh,2-4,39.2032407,0.060002687,59.59821429,25.99891875,0.01560005
273,Fresh,Fresh,4-6,58.37763762,0.064194191,86.5948756,37.50759547,0.024077698
273,Fresh,Fresh,8-10,58.43217494,0.066218642,83.15551245,36.04139496,0.023866122
273,Fresh,Fresh,12-14,64.82346551,0.057718495,ND,ND,ND
273,Fresh,Fresh,16-18,65.76158765,0.065986913,88.49557522,38.31786372,0.025284775
273,Fresh,Fresh,20-22,50.38904899,0.061372693,86.06658446,37.28238496,0.022881203
273,Fresh,Fresh,60-62,71.80023772,0.070687713,82.98081653,35.96692209,0.025424195
273,Fresh,Fresh,78-80,81.00251842,0.081831106,94.22894086,40.76199749,0.033355993
273,Fresh,Fresh,98-100,42.82267186,0.057927306,ND,ND,ND
327,Fresh,Fresh,0-2,45.21284873,0.062760524,84.0588596,36.42649185,0.022861457
327,Fresh,Fresh,4-6,52.86168965,0.064492129,72.53491325,31.51383352,0.020323942
327,Fresh,Fresh,8-10,60.00706205,0.074988716,55.28184978,24.15885256,0.018116413
327,Fresh,Fresh,12-14,61.03576016,0.066424907,68.27503016,29.69784536,0.019726766
327,Fresh,Fresh,16-18,71.78767661,0.07322146,64.73793461,28.18998153,0.020641116
327,Fresh,Fresh,22-24,65.38532166,0.072001696,54.03687222,23.62811863,0.017012646
327,Fresh,Fresh,38-40,80.77274712,0.084079647,65.98883573,28.72324067,0.024150399
327,Fresh,Fresh,58-60,62.1786823,0.069801538,73.9317157,32.1092904,0.022412779
327,Fresh,Fresh,78-80,67.06486291,0.069434845,61.00436681,26.59836157,0.018468531
327,Fresh,Fresh,98-100,79.60184819,0.080155522,79.758689,34.59332912,0.027728464
331,Fresh,Fresh,0-2,73.94082656,0.076638835,86.66952422,37.53941817,0.028769773
331,Fresh,Fresh,2-4,44.68085106,0.068923003,87.86102972,38.04735697,0.026223381
331,Fresh,Fresh,4-6,78.53462343,0.08072848,86.89908257,37.6372789,0.030384003
331,Fresh,Fresh,8-10,76.70832556,0.076312885,84.28075794,36.52108711,0.027870295
331,Fresh,Fresh,12-14,77.02597699,0.076796716,80.88927421,35.0752976,0.026936677
331,Fresh,Fresh,16-18,79.23329668,0.082243635,76.1351139,33.04859906,0.027180369
331,Fresh,Fresh,22-24,79.61208568,0.085709393,73.95325374,32.11847207,0.027528548
331,Fresh,Fresh,38-40,75.10864757,0.073071217,74.953125,32.54471719,0.023780821
